ConsumerID,Frequency,Recency,Money
183575,1,66,299
186569,1,158,249
62980,4,40,3095
187505,1,54,797
162619,5,65,2746
172111,11,6,3274
130900,11,20,8260
193754,1,50,897
118749,1,317,34
119585,1,316,558
117793,6,5,7362
172314,10,8,1641
168733,1,59,299
134773,14,69,4151
100813,7,118,2988
143263,1,285,99
151753,1,273,99
109303,1,207,34
160243,1,190,209
163824,1,265,209
126283,1,141,209
188653,2,73,388
23501,1,92,1494
171673,1,72,249
6521,6,11,6542
92964,6,176,6544
101454,4,282,3516
154693,2,154,2392
163183,2,289,418
84474,1,328,2219
197143,1,42,34
126924,1,141,209
153296,6,29,646
199158,1,94,34
187256,1,49,777
167359,1,115,68
133399,20,26,8621
77381,5,52,1341
170276,1,159,508
111341,2,173,4186
165198,9,157,1741
150379,1,330,209
131238,1,313,1494
148218,1,315,34
145301,1,245,249
34029,10,10,13057
116396,2,131,2392
169635,1,131,119
165221,3,261,717
111982,2,333,597
67989,2,313,558
133376,1,323,299
51009,1,212,1494
69,1,252,68
186615,1,156,279
199181,1,94,209
122871,5,119,170
113379,4,6,3486
168238,1,59,209
158746,1,70,34
148341,7,5,2778
37046,7,17,6922
167236,1,208,99
142768,1,226,119
156831,1,144,249
79419,1,356,1090
133276,1,372,119
45536,1,355,891
124786,6,218,1344
138849,1,219,299
104889,1,352,299
71029,4,194,1674
45559,2,313,396
113356,1,138,1674
124809,2,332,1086
114358,1,367,498
133299,1,372,436
148318,1,345,578
167259,7,36,340
156808,1,145,209
158769,1,53,279
122848,1,131,99
178766,1,112,209
190668,2,51,837
200160,2,76,102
166200,3,11,940
144806,10,255,2532
47497,4,203,2301
115417,1,137,119
156708,1,337,99
124909,1,349,498
102851,2,258,498
158869,1,231,209
146303,2,133,418
135314,1,125,99
178125,4,2,636
102951,5,44,6120
200060,2,129,3237
200183,1,100,299
146280,4,26,6156
59499,9,79,1822
90926,2,344,2511
156731,2,314,418
103492,1,199,209
112320,1,175,249
212085,1,119,209
124886,4,72,748
190691,2,19,3129
178666,2,17,1913
134673,2,253,498
4145,3,315,2550
81434,2,91,368
77922,30,25,5328
198122,1,40,837
212185,2,47,3588
189632,2,12,4264
99811,8,278,4584
186715,1,97,498
172652,1,139,34
67594,1,119,374
137352,2,365,495
203695,1,184,418
145842,2,248,418
161245,1,295,279
135775,1,226,34
144265,1,103,297
172214,1,135,4464
109403,1,203,1495
197684,1,45,787
206635,2,100,1282
136416,9,174,6079
119731,1,367,299
126383,1,125,119
119436,1,359,99
145201,1,262,109
144906,1,102,279
162181,1,149,837
161886,2,136,592
155234,1,136,109
48576,4,134,5034
171773,3,92,1381
154793,2,101,833
176187,3,26,945
72967,1,338,990
126824,2,59,7470
138726,1,344,357
157710,1,308,299
121746,1,314,418
26541,11,33,9477
199058,1,40,299
187156,1,48,797
172709,2,6,328
191693,1,94,498
155729,3,130,4980
125888,1,348,498
89924,2,289,5727
98875,3,181,5229
137790,1,257,279
108908,2,71,198
176828,1,110,249
165321,4,64,238
184216,1,82,68
87909,8,209,2550
130359,4,141,901
64354,1,283,3097
151258,1,248,99
203200,1,184,209
193708,1,100,357
175649,1,99,299
132274,2,75,2932
106804,3,186,2490
105968,2,315,548
149343,2,284,418
52947,1,355,1494
141766,2,219,418
184116,3,5,1215
150279,10,70,6035
175749,1,46,877
185241,2,43,886
183280,1,65,418
193608,1,49,837
105868,3,224,5770
140830,1,321,1245
97501,1,360,249
140787,1,216,99
166257,1,68,99
171278,1,113,299
192672,1,54,857
183180,2,54,996
186177,3,95,2589
206735,4,40,2256
161786,1,100,209
152294,1,274,209
74046,4,75,2190
20189,4,284,764
139682,1,256,208
167405,1,112,419
192875,1,101,279
158915,2,123,418
184385,1,53,119
175895,3,8,537
133445,1,304,34
150425,2,254,1536
141935,1,224,34
114212,4,303,1044
122702,1,274,153
148172,1,321,119
36213,9,159,3898
183034,1,65,109
191524,1,62,297
124053,12,3,18533
132543,15,7,3242
81603,1,285,1935
115563,2,62,4691
174544,1,116,218
149074,1,338,498
56133,6,95,2112
157564,2,215,136
166054,1,162,249
86704,1,74,68
68135,10,63,2082
34175,4,85,1839
215,21,17,20300
99270,4,4,6972
177269,3,102,1624
165367,1,139,99
194249,1,174,299
103684,1,374,1674
120664,1,358,209
160289,2,150,714
46741,1,306,597
148387,1,314,68
143309,1,154,119
138995,4,29,4744
193562,1,53,897
176582,3,6,1136
88055,6,28,6605
65997,5,162,495
116937,1,372,996
142622,4,268,204
62370,1,332,498
105035,1,272,1415
159602,1,239,2988
164016,1,194,249
179307,1,111,1794
188799,2,61,517
110800,3,43,594
198540,1,52,897
170817,3,11,2490
190050,1,40,119
102310,1,207,297
145347,3,129,747
47428,4,28,3237
145447,5,35,5210
179622,2,19,498
178620,1,49,837
190737,1,66,249
102997,1,194,204
68035,1,175,2790
144660,1,154,34
127465,1,357,307
22960,1,371,109
111487,2,147,2377
154152,1,294,299
170130,1,155,238
136170,2,168,1594
147385,4,146,2988
90780,1,100,1743
168192,1,59,837
124740,6,110,2948
178271,1,71,119
134232,1,175,952
112174,4,245,2790
103346,1,205,299
156877,1,243,299
212231,1,171,34
190837,1,135,34
168779,1,99,1794
168879,1,56,797
146698,2,19,747
100959,1,257,1933
180658,1,129,2790
104033,1,176,2988
134132,1,326,418
134919,1,321,1245
147485,1,252,102
183134,1,55,249
193462,1,71,747
70760,1,350,99
140933,1,287,68
157664,4,209,2172
166154,1,151,209
115463,1,361,299
98483,2,314,1494
166403,1,163,34
140684,1,323,34
96230,1,180,249
79250,1,12,2988
199012,2,19,3337
131092,6,194,5326
156562,2,194,418
120764,2,341,208
148072,1,277,34
94607,14,10,12455
130156,11,131,5980
108762,7,104,2241
172855,2,88,2520
187010,1,49,99
191839,1,80,747
186761,1,85,357
155875,5,9,6684
147136,2,201,2093
203990,2,175,2475
125742,1,327,249
151461,1,246,249
207468,5,119,985
315,1,95,209
184070,3,16,3328
182447,1,74,249
27623,1,40,797
116150,5,20,2490
22545,1,258,99
167090,1,115,299
186074,2,116,418
155188,1,181,99
175795,2,19,797
126429,1,372,299
177369,2,143,68
105822,1,351,945
114527,2,86,136
172168,1,192,119
187797,1,47,963
197538,1,45,777
171232,1,72,119
171819,1,123,249
197289,1,45,877
162327,1,99,249
207030,1,172,249
206781,1,120,34
74836,2,307,498
152835,4,13,1264
41878,6,245,7530
119290,3,208,996
109798,1,304,249
172068,1,185,204
172755,1,89,612
171919,1,90,612
152148,3,25,714
198225,2,50,1822
171132,2,50,1196
197389,1,44,797
110485,9,141,4479
109698,2,324,837
73900,1,221,1136
162427,2,153,545
161640,1,149,209
187110,1,48,777
119977,2,6,1381
119190,6,13,2978
108862,1,137,209
6767,5,192,4842
94507,7,236,5859
130405,3,117,3082
160704,1,68,99
151799,9,84,2277
141471,1,315,1126
172606,2,136,136
151212,1,154,249
130505,18,5,8271
172506,1,89,99
161391,4,132,1763
53880,2,330,1286
151112,3,261,297
129718,2,290,3606
140833,1,321,198
139997,3,163,1335
141620,1,280,34
140784,1,216,396
151899,1,154,617
201116,1,129,4125
126947,1,141,1116
129200,10,129,15172
135437,16,110,7588
171650,1,72,68
197120,1,42,498
101477,1,349,498
152417,1,148,299
146180,2,347,1055
118457,9,216,5039
143927,1,288,109
84497,1,336,747
163160,1,195,249
154670,1,185,209
49635,4,128,8992
66830,6,69,5355
206297,1,52,357
197807,1,45,837
189317,1,42,476
172337,19,0,23000
143240,1,285,119
109280,1,207,209
138377,1,214,209
155357,11,184,1785
100790,5,268,1494
163847,1,264,68
134750,1,365,68
126260,1,141,299
146867,2,188,426
169612,2,109,102
112005,11,203,408
128985,12,27,10644
82459,7,6,5160
164534,3,111,297
186592,1,157,249
95025,5,100,1805
152632,1,149,119
147554,1,131,209
181514,1,76,249
51673,7,140,3585
170299,11,22,1980
153319,20,131,37048
187279,1,48,209
149692,2,290,3191
132712,2,175,3986
131925,1,356,109
98752,1,360,99
148905,1,224,1544
182865,1,127,249
165885,1,164,2988
71593,33,86,26047
167574,1,61,498
211275,5,12,4006
176064,1,109,408
192042,1,71,528
149005,7,57,3286
158082,2,305,396
157495,1,144,119
166572,1,117,249
132612,4,12,5533
35380,5,78,1494
105553,1,323,218
124122,2,179,558
44872,6,132,4992
123535,4,284,996
122184,2,343,837
112692,1,346,498
133963,1,315,279
156144,1,324,279
147654,1,277,34
159433,2,182,102
168261,1,99,299
146967,1,210,34
190004,1,40,897
156044,8,56,7753
168610,1,86,209
178102,1,72,249
212062,1,119,747
103515,1,371,68
134650,4,288,406
144142,1,174,99
13637,5,102,10562
178789,1,124,249
102828,3,43,624
135337,3,13,3225
124222,3,281,1743
166887,2,111,418
158182,1,355,119
157395,1,145,99
191355,1,93,34
170648,1,58,34
180727,1,129,996
179138,1,85,34
128198,5,69,1794
127949,6,4,1992
178889,2,71,1272
153668,1,295,170
110969,1,279,1344
102728,14,30,9273
170399,4,29,272
206197,1,52,777
153419,1,261,1494
102479,1,201,299
100890,1,217,209
127262,9,23,2810
178202,1,105,34
171335,3,65,747
169712,2,60,2790
101792,13,8,4411
190319,1,41,777
173339,1,119,470
152732,1,147,498
179825,1,84,299
110282,2,174,2091
108278,1,201,2376
111905,5,320,1245
101577,1,201,109
103415,4,86,476
154355,1,227,238
142891,9,114,3535
174026,2,10,238
90611,8,46,5460
160120,1,235,198
138477,2,219,2023
143140,1,290,1395
121497,1,332,249
159871,1,148,109
191006,1,134,102
143827,19,6,9555
103166,7,136,969
122433,2,337,198
142204,1,250,249
139413,1,367,249
61165,1,336,119
158397,1,233,136
159184,4,111,990
160807,1,189,498
18815,3,129,3029
159084,4,94,996
175062,1,45,238
96814,3,40,4782
183967,1,82,3348
184554,1,83,119
122533,1,232,1245
149592,12,151,2229
140100,5,246,1593
194295,4,102,1305
141517,2,244,747
45121,1,193,2100
165570,1,138,99
174126,5,21,4617
184903,3,12,3486
174962,4,67,3806
51424,5,81,8318
106655,2,49,1188
19751,17,36,4398
132961,1,257,498
164634,1,191,209
8974,5,15,4524
142453,2,201,3520
139164,2,200,897
107491,4,221,594
129672,1,352,209
148656,1,324,34
164196,3,135,3664
108178,2,59,2610
173439,10,8,4109
185341,1,53,119
174275,1,87,218
195082,2,157,2453
185590,1,77,299
117421,1,135,1386
195669,2,78,558
60816,1,326,119
128736,1,331,627
117670,1,321,99
163947,1,195,109
139064,3,178,996
108865,4,31,4077
85848,13,1,22857
164883,3,0,5018
195769,5,23,1448
97750,7,12,2985
185490,2,72,747
163260,1,306,109
186277,1,157,99
138354,5,55,3733
155334,6,157,3735
178812,4,90,751
212772,6,5,5868
191547,3,41,2152
195792,2,107,1495
134109,4,8,5580
151089,1,289,1254
121374,8,240,3620
94315,1,348,337
60355,2,338,996
174567,1,115,498
23,13,12,22659
192852,2,12,1801
165175,11,4,5649
175872,6,35,1913
187989,2,19,2132
148195,15,11,6237
102118,4,97,7470
56797,3,202,1961
141912,1,224,510
124932,1,348,1463
131215,1,314,1494
158892,3,243,408
710,3,11,4743
178597,2,70,747
121992,3,82,1694
93697,3,19,2388
197999,2,20,68
117747,2,294,68
161617,1,150,996
144637,1,154,209
127657,1,166,209
148882,1,224,198
105012,1,346,498
100767,2,166,68
13445,1,337,209
110677,1,200,34
165862,4,137,1196
154647,9,1,16441
33365,7,41,1478
165344,1,139,249
171627,1,72,34
198517,1,52,837
192234,2,36,198
131384,2,349,4080
120687,1,358,1080
148364,2,274,204
181537,1,76,34
168902,1,56,777
181637,2,18,498
91490,4,82,7152
165244,2,0,5214
47451,1,187,996
68676,2,175,2376
104225,1,177,68
134942,1,315,1274
138185,1,260,228
147677,1,278,0
177979,2,103,297
159410,1,236,68
199204,1,93,279
178079,1,105,299
192065,1,71,1494
168587,2,11,1494
37610,1,84,119
212254,2,170,218
158105,1,299,2988
168802,1,57,34
134627,2,236,1782
112028,1,362,797
115022,1,351,209
70365,3,128,594
145988,1,245,34
144119,1,174,119
168115,1,98,34
124245,5,20,1494
145470,2,37,447
101600,9,83,1422
189340,1,42,807
114335,1,359,498
148713,1,336,99
80793,6,202,990
158205,1,354,109
114753,2,351,2790
111510,2,256,597
133591,23,2,24800
144952,1,102,249
169420,1,55,209
179330,3,18,7732
168633,2,51,857
101500,12,131,3078
178912,1,71,249
135460,2,108,418
47720,2,300,68
124763,1,350,279
80893,1,243,249
158723,1,102,498
181806,1,104,1494
16903,3,131,2524
91072,1,347,3344
103807,1,177,209
125281,1,372,198
112546,2,341,837
129526,1,325,209
142012,1,259,119
165075,1,240,68
164826,1,139,109
152340,1,209,99
194541,1,133,299
174667,4,26,1341
104743,2,54,2040
195477,2,16,1343
151404,2,87,418
189858,1,42,594
54172,2,355,1544
132420,2,175,1245
206838,1,119,119
178497,2,89,1196
191647,1,83,119
149400,1,286,707
100249,4,221,2264
128590,1,354,272
168384,1,114,297
188089,2,10,1143
144219,2,95,331
205069,1,44,857
171527,2,0,1674
154547,1,184,1116
158792,2,61,357
131484,1,314,249
148464,1,345,545
118165,1,320,249
192334,1,100,119
121892,9,10,3060
181119,1,76,209
165762,2,35,68
610,1,229,119
145155,1,238,299
164139,1,243,99
157856,2,176,313
182742,1,173,996
127757,1,132,99
11238,23,17,7551
195374,1,47,2093
198617,1,51,777
98978,6,11,10676
130697,1,369,418
73259,1,333,279
185882,1,161,209
20730,1,175,1992
186131,1,158,34
111713,1,361,119
108470,5,303,1794
117962,1,374,279
121205,1,332,209
150671,1,298,418
137936,1,314,594
185782,1,105,297
11138,26,10,16876
137836,1,257,2988
176290,1,110,209
170591,1,130,99
131633,1,344,558
98042,1,369,119
43893,2,289,1046
151607,1,272,209
162968,1,194,34
161099,1,145,209
107534,1,138,1196
109506,2,122,1473
162868,2,69,495
175603,3,11,6635
185095,2,23,558
206738,1,42,777
63813,1,173,1992
172360,1,111,1260
106847,11,144,3585
131733,4,228,545
128490,2,323,2490
162032,1,306,34
118998,1,316,102
171424,1,111,297
186818,3,51,136
21666,4,2,2470
31304,14,9,17664
179476,1,40,897
105058,2,64,4530
122038,10,184,2490
155998,1,269,109
42711,1,299,99
14324,3,281,1279
93651,11,136,3154
168069,1,195,299
162496,2,141,747
127611,1,125,238
139018,1,219,99
113571,1,132,249
198471,1,43,897
142576,8,20,3984
159556,2,47,198
68822,1,131,357
107737,3,345,1788
147531,1,132,299
125596,1,347,34
164511,1,191,598
168948,1,56,967
132566,11,34,6185
202908,1,43,717
185928,1,50,897
134063,1,327,279
143973,1,154,279
160953,1,195,119
126993,1,141,99
117083,2,149,2110
1374,8,131,2022
194913,2,182,170
149546,1,335,249
98606,4,274,862
71716,1,218,1344
166008,10,26,3586
192898,2,46,1773
153983,9,79,1805
187943,1,47,777
175918,3,26,1453
182988,1,55,897
149028,3,53,411
132048,2,170,3963
158938,1,240,34
170963,1,112,99
90239,7,71,1903
147013,2,103,636
180973,1,77,68
15821,5,20,3855
137521,5,90,4711
124199,3,317,1743
165908,1,163,99
103561,3,316,2321
169566,1,110,470
92154,3,195,5121
112128,1,360,209
126114,1,316,1495
171481,1,129,109
178958,2,2,418
72234,1,338,249
155480,1,274,119
121520,1,331,279
143455,1,225,99
103661,1,199,119
203426,1,196,249
191401,1,135,647
191501,1,56,777
148049,10,29,4383
16857,5,75,9690
146134,1,222,99
102264,1,302,99
147631,1,278,498
157541,1,243,249
123581,1,132,99
179576,1,71,34
136124,1,132,836
167551,2,53,897
158059,4,41,9324
48802,6,151,8910
111656,1,362,249
124099,2,344,598
114189,1,241,1494
167969,1,188,99
145616,1,218,99
146034,1,221,34
40796,3,201,996
158577,2,27,2699
186964,1,53,209
131530,4,211,5035
137103,1,351,34
148510,2,298,594
119044,1,359,299
203944,4,147,594
116104,12,15,8881
150525,5,17,1287
133545,12,13,6144
138039,5,180,2620
135088,1,367,209
118108,1,358,99
160853,1,188,209
157023,2,304,677
186028,1,156,299
193416,1,71,249
73213,20,8,4458
170445,2,82,2241
176436,1,107,249
187843,1,46,777
177515,5,8,1095
55154,1,322,249
159038,2,212,327
39671,3,10,1248
83541,3,68,2739
153465,9,105,2050
142058,1,254,1494
126575,1,327,836
134481,1,331,299
175500,1,61,777
178451,2,76,170
197435,1,43,777
144073,1,103,209
76153,2,182,2686
105576,10,155,7241
122138,4,239,1524
154401,2,15,5592
132466,2,324,3348
171381,1,123,418
110531,4,273,1188
149446,1,336,299
192380,2,1,1833
173396,1,129,996
76253,8,133,8321
116047,1,132,1992
163993,2,184,3289
162078,1,151,498
143094,1,288,34
151507,1,232,299
182888,1,127,299
154501,1,185,228
152586,1,147,297
145009,1,238,34
142994,5,18,1245
194395,1,121,1494
172460,1,89,119
181952,1,75,1621
174421,2,72,1245
152486,3,104,747
164093,1,144,99
74238,2,178,1026
55254,2,228,1245
52260,3,287,2626
142158,3,180,627
164929,1,167,297
16800,1,176,249
184013,1,81,99
130651,11,1,4050
206984,1,173,1196
140143,3,190,4431
165029,3,154,2926
129572,4,226,1016
137982,1,260,249
174521,1,116,337
173442,2,92,693
163014,11,11,9451
175457,1,61,209
184949,1,79,119
97209,10,54,9216
63667,1,190,209
193359,1,196,209
119144,1,362,34
131587,1,345,299
128636,1,353,99
206884,1,119,279
106701,1,138,249
141079,3,255,1365
109652,4,168,2241
150571,1,335,209
41732,8,149,1992
153522,1,295,1674
19797,5,118,780
188879,3,71,2990
118208,8,35,2640
163575,2,131,747
26810,4,189,378
197535,1,45,558
183306,4,42,1722
123366,2,244,792
158251,8,223,1887
89406,1,367,99
80916,1,317,498
192211,1,71,34
195128,1,179,204
183721,1,124,34
166741,2,105,747
175231,1,128,34
131879,13,12,3760
175208,1,49,1851
192188,1,45,897
123389,5,306,1239
52506,3,257,1989
183698,1,124,102
158228,1,346,209
132758,7,40,1492
140369,1,286,1743
141248,1,294,99
149738,1,291,34
166718,1,118,209
67471,3,39,2934
12117,15,10,27311
197166,2,18,1524
198663,1,51,119
16531,1,3,74
87368,2,326,3457
138308,1,231,249
181683,1,74,476
164680,1,135,209
126306,2,105,418
181660,1,74,3906
87391,1,75,495
194226,2,35,108
177246,1,173,408
143286,1,154,249
160266,1,188,594
82313,4,203,1494
133917,4,171,1188
147700,1,277,99
155311,1,270,68
138331,1,215,34
144683,11,31,4980
111464,9,215,2183
204113,1,40,498
178643,5,7,495
116373,8,36,4670
13491,3,270,5698
101972,3,259,2081
90903,1,336,249
170153,1,155,119
82413,1,214,209
102974,1,203,99
179645,2,88,68
144783,1,103,249
135291,1,125,357
170794,3,16,2083
188776,2,48,498
178743,1,112,299
102333,1,207,418
154816,1,136,299
14132,2,283,396
136293,3,314,1893
145324,1,245,99
126801,1,353,1116
170253,2,158,243
179284,1,96,109
78878,1,130,4464
190173,1,46,594
100936,1,194,3588
134896,1,321,34
180681,1,129,119
146721,2,219,1494
188676,1,76,99
112861,9,63,10392
146821,4,91,408
178248,4,12,2027
168215,1,59,777
37564,5,27,5997
134255,1,142,249
156190,3,257,347
103369,2,199,348
168756,1,99,68
47056,6,18,10230
134796,2,320,498
112738,12,56,5967
212208,2,157,204
69409,5,134,3477
193213,7,4,4743
95981,5,98,2567
124368,3,41,2640
157249,1,266,249
131779,5,273,1194
107388,2,120,1554
88404,1,118,747
174229,1,129,996
70511,3,234,2125
121451,2,330,598
149838,1,336,99
148759,4,252,1992
132858,1,302,209
160166,1,145,299
166841,43,3,2250
115901,7,57,6738
184700,4,23,1992
194149,1,43,34
140246,4,12,11313
158351,5,139,5875
96917,1,350,34
141371,4,261,2720
97796,1,334,170
165716,3,185,204
1689,1,161,249
183821,1,57,209
127903,1,125,327
184757,3,48,2033
170694,2,87,418
175108,2,0,1073
167777,3,53,1773
143386,3,136,4485
164780,1,168,209
181760,1,104,348
138231,3,181,1953
113840,1,362,209
153714,6,132,1494
92446,1,222,498
24019,1,301,249
116837,1,198,109
142745,4,78,456
147823,4,118,1743
191152,1,130,1196
128839,1,132,996
150774,2,319,495
130843,2,327,857
133794,2,266,537
159725,2,266,357
104248,1,173,249
152778,1,146,209
128444,10,139,3684
206692,2,8,4182
143681,1,132,209
164242,2,118,418
195623,1,144,1188
153173,1,298,109
117375,1,138,2082
128782,1,373,498
118211,1,320,209
85994,1,239,498
142845,1,272,249
118852,9,61,15910
162765,2,116,136
137295,1,369,209
153814,1,227,34
75566,1,349,218
40604,4,259,1455
143781,5,161,1794
118311,2,298,2351
163306,1,100,99
127803,1,132,337
153273,1,146,279
144322,1,102,558
85453,8,17,1641
194587,1,49,777
108424,2,321,1531
139310,1,343,765
117916,3,294,396
127408,1,358,249
129818,1,352,1116
163701,2,242,2079
140146,1,281,99
154209,6,203,1428
142307,1,224,34
195228,1,101,99
163801,5,8,2101
117816,4,10,7574
185195,2,5,4784
195523,1,50,34
173293,1,135,1494
207130,1,152,279
185736,1,71,209
194687,1,143,34
174129,1,129,279
176144,1,109,34
125370,6,16,4731
150840,5,15,1041
173688,1,118,1494
207571,3,113,627
119831,1,362,1335
150717,3,166,612
73405,6,90,8859
172752,1,89,119
207671,1,172,119
52011,6,193,1584
130259,1,314,3048
141866,1,255,209
173588,1,162,119
151653,1,272,209
139751,1,286,209
151358,1,234,283
152194,1,209,249
170737,2,77,68
207614,1,132,1992
179227,1,40,787
85410,1,374,558
170571,2,121,714
171212,2,44,238
171378,2,27,418
179868,1,40,528
144199,1,103,68
169669,1,130,3588
162722,3,256,204
118729,1,318,396
137252,1,347,1245
152855,1,147,99
145742,1,230,34
172609,3,81,846
155629,3,138,1542
194667,5,39,8913
58068,6,105,4980
134312,4,12,945
80455,4,215,416
164285,1,190,34
206569,1,121,279
137913,6,30,9957
160684,3,55,136
135380,1,166,238
130302,1,313,2760
156270,1,340,99
147282,1,276,109
117355,1,197,119
142327,1,260,209
46472,1,261,119
176287,1,110,279
183137,1,55,837
191627,2,41,2988
166323,1,96,418
149254,1,338,136
1171,6,151,1191
157667,1,274,249
132440,1,369,34
51945,1,177,34
191793,1,80,703
103887,1,199,299
191770,2,18,1869
105825,8,0,612
166300,2,41,837
183114,1,63,119
114315,7,70,2768
139785,2,175,3348
157644,1,275,209
166423,1,162,1044
132340,7,163,5028
1148,1,143,209
149154,2,275,3138
114481,2,287,498
157767,1,313,498
157810,1,312,209
15947,16,12,31935
102015,13,87,3291
155795,8,50,1992
167697,3,9,136
181099,2,33,1743
28513,9,56,4399
66558,1,147,249
44500,1,12,68
155872,1,313,1278
68055,1,314,1245
113256,1,165,68
193665,1,153,34
200996,1,50,594
181740,1,44,797
135214,1,12,792
167797,1,59,777
181199,1,74,592
168338,1,56,299
68032,2,284,996
147239,4,200,744
147780,1,275,418
159682,1,183,119
116353,3,321,1026
34072,6,165,3694
143870,1,291,498
112443,1,333,498
155895,1,312,279
155772,1,268,249
178225,1,105,209
144099,5,76,3439
181142,1,75,996
181640,1,74,209
111882,4,251,1879
86412,3,291,1953
152755,1,147,209
116957,3,288,1345
82831,4,213,1495
145344,3,218,604
206612,1,121,249
207110,1,169,68
127285,1,141,209
127926,1,167,99
179327,4,75,933
189194,5,0,408
102456,3,74,837
39645,12,107,4618
30989,14,12,25383
170671,1,156,418
170210,1,161,249
24042,2,177,498
119897,1,360,249
119270,1,358,249
163724,1,264,249
153396,1,297,34
196141,1,196,198
160784,9,37,1396
106927,4,77,2868
207737,10,25,3666
179768,1,65,598
23601,4,40,3285
188753,1,75,102
191670,1,95,279
171112,1,129,209
168195,1,59,34
142227,3,139,2426
199081,2,5,183
183014,1,66,34
26518,3,290,495
137813,1,368,99
118829,1,318,109
173754,2,84,1743
165098,3,34,1254
129798,2,212,1674
168799,1,98,198
121769,2,243,2730
134212,1,354,68
142868,1,291,109
39943,1,344,119
103830,1,199,299
130425,1,133,204
111441,1,176,2490
160143,1,190,99
25473,62,10,12080
3,4,39,2076
184139,1,57,837
175726,1,56,897
105055,2,167,3824
81500,1,200,396
106970,1,138,299
121869,1,132,996
194710,1,143,209
98314,1,286,1494
140853,1,259,498
165155,1,238,209
150256,1,232,279
173811,2,103,198
186054,1,156,209
106827,7,27,2178
183741,2,71,5581
175626,2,45,837
184282,1,109,209
146,10,123,2376
184239,2,52,1869
158271,1,234,209
139828,1,216,299
158812,6,40,5022
96499,3,348,843
19130,3,141,846
150156,1,354,99
140953,1,287,299
132297,1,257,102
29017,2,44,3477
139728,8,10,1071
140392,7,125,693
65387,1,259,1188
149884,1,253,119
174770,3,5,1494
153127,2,281,3486
184262,1,81,279
74879,2,245,2241
143635,2,340,2073
96522,3,330,897
207425,7,43,1743
